,index,city,population
658,12426,Grand Rapids,609314.0
659,12435,Grande Prairie,63166.0
660,12440,Grandville,15858.0
661,12455,Grants,11833.0
662,12459,Grapevine,55281.0
663,12483,Graz,289440.0
664,12494,Great Falls,65131.0
665,12506,Greeley,137810.0
666,12508,Green Bay,207557.0
667,12513,Green River,11906.0
668,12516,Greenbelt,23224.0
669,12520,Greencastle,10567.0
670,12522,Greene,17667.0
671,12524,Greenfield,37221.0
672,12528,Greensboro,343090.0
673,12529,Greensburg,14113.0
674,12531,Greenville,484465.0
675,12532,Greenwich,62587.0
676,12533,Greenwood,59458.0
677,12534,Greenwood Village,15735.0
678,12566,Griffin,22813.0
679,12574,Grimes,14804.0
680,12579,Grinnell,9116.0
681,12590,Groningen,201462.0
682,12603,Groton,38825.0
683,12610,Grove City,41820.0
684,12611,Groveland,16423.0
685,12824,Guelph,131794.0
686,12853,Guildford,77057.0
687,12893,Gulfport,220987.0
688,13016,Göttingen,119801.0
689,13085,Hackensack,44188.0
690,13104,Hadley,5319.0
691,13115,Hagerstown,184755.0
692,13171,Halesowen,58135.0
693,13178,Halifax,403131.0
694,13206,Hamburg,1852478.0
695,13209,Hamden,60982.0
696,13213,Hamilton,693645.0
697,13217,Hamlet,6328.0
698,13227,Hammond,75522.0
699,13231,Hampshire,6251.0
700,13233,Hampton,134510.0
701,13267,Hannibal,17884.0
702,13268,Hannover,542668.0
703,13272,Hanoi,8246600.0
704,13273,Hanover,68165.0
705,13320,Harlingen,136037.0
706,13326,Harper Woods,13746.0
707,13333,Harrisburg,442289.0
708,13335,Harrison,28943.0
709,13336,Harrisonburg,72386.0
710,13339,Harrodsburg,8916.0
711,13340,Harrogate,73576.0
712,13347,Hartford,905152.0
713,13350,Hartland,9320.0
714,13354,Hartsville,14693.0
715,13397,Hatfield,17646.0
716,13407,Hattiesburg,80138.0
717,13415,Hauppauge,20005.0
718,13427,Haverford,49283.0
719,13428,Haverhill,64014.0
720,13433,Havre,10155.0
721,13448,Hawthorne,86068.0
722,13460,Hayward,159203.0
723,13476,Healdsburg,11845.0
724,13515,Heilbronn,126458.0
725,13535,Helena,52936.0
726,13558,Helsinki,642045.0
727,13563,Hemel Hempstead,94932.0
728,13565,Hemet,177253.0
729,13574,Henderson,320189.0
730,13575,Hendersonville,58113.0
731,13602,Hercules,26276.0
732,13606,Heredia,18988.0
733,13607,Hereford,63024.0
734,13626,Hermosillo,855563.0
735,13630,Herndon,24601.0
736,13631,Herne,156374.0
737,13651,Hershey,14654.0
738,13701,Hiawatha,7420.0
739,13704,Hickory,218323.0
740,13730,High Point,179913.0
741,13736,Highland,55417.0
742,13738,Highland Heights,8373.0
743,13744,Highlands Ranch,105631.0
744,13766,Hilliard,36534.0
745,13767,Hillsboro,109128.0
746,13768,Hillsborough,39542.0
747,13769,Hillsdale,11223.0
748,13774,Hilo,45056.0
749,13783,Hilversum,87817.0
750,13793,Hinckley,45249.0
751,13830,Hiroshima,1198021.0
752,13864,Hobart,222356.0
753,13867,Hoboken,52677.0
754,13885,Hoffman Estates,50932.0
755,13912,Holbrook,25824.0
756,13924,Holland,100432.0
757,13938,Hollywood,154817.0
758,13939,Holmdel,16609.0
759,13987,Hong Kong,7398000.0
760,14002,Honolulu,820987.0
761,14004,Hood River,15949.0
762,14022,Hopewell,22529.0
763,14024,Hopkins,18468.0
764,14026,Hopkinton,17598.0
765,14068,Horsham,26487.0
766,14069,Horst,5709.0
767,14091,Houghton,15543.0
768,14098,Houston,5464251.0
769,14107,Howell,51959.0
770,14185,Huber Heights,38154.0
771,14189,Huddersfield,162949.0
772,14191,Hudson,25356.0
773,14235,Hull,10455.0
774,14260,Huntersville,58098.0
775,14263,Huntingdon,23732.0
776,14264,Huntington,201718.0
777,14265,Huntington Beach,199223.0
778,14270,Huntsville,319249.0
779,14290,Hutchinson,42531.0
780,14311,Hyattsville,18230.0
781,14313,Hyde Park,20954.0
782,14493,Idaho Falls,100442.0
783,14718,Independence,116672.0
784,14727,Indianapolis,1588961.0
785,14755,Ingolstadt,136981.0
786,14778,Innsbruck,132493.0
787,14795,Inverness,47290.0
788,14799,Inwood,9892.0
789,14810,Ionia,14122.0
790,14811,Iowa City,118041.0
791,14839,Ipswich,290000.0
792,14848,Iqaluit,7740.0
793,14882,Ironwood,6448.0
794,14889,Irvine,287401.0
795,14890,Irving,239798.0
796,14891,Irvington,54079.0
797,14909,Iselin,18175.0
798,14928,Ishpeming,12198.0
799,14942,Islamabad,1014825.0
800,14948,Islip,331499.0
801,14967,Issaquah,39509.0
802,15083,Itasca,9805.0
803,15100,Ithaca,55137.0
804,15246,Jackson,325350.0
805,15247,Jacksonville,1181496.0
806,15248,Jacksonville Beach,23628.0
807,15323,Jamestown,40493.0
808,15397,Jasper,16477.0
809,15428,Jefferson,21035.0
810,15429,Jefferson City,58025.0
811,15433,Jeffersonville,48126.0
812,15447,Jena,111407.0
813,15473,Jersey City,262075.0
814,15482,Jessup,9509.0
815,15634,Johannesburg,4434827.0
816,15637,Johnson City,127571.0
817,15639,Johnston,29307.0
818,15641,Johnstown,63141.0
819,15647,Joliet,147344.0
820,15653,Jonesboro,78394.0
821,15657,Joplin,84048.0
822,15738,Juneau,31974.0
823,15746,Jupiter,65791.0
824,15763,Jurupa Valley,109527.0
825,15846,Kabul,4273156.0
826,15919,Kajaani,37622.0
827,15944,Kalamazoo,215193.0
828,16057,Kamloops,100046.0
829,16061,Kampala,1659600.0
830,16141,Kannapolis,50841.0
831,16148,Kansas City,1636715.0
832,16167,Kapaa,10580.0
833,16206,Karachi,15292000.0
834,16255,Karlsruhe,308436.0
835,16320,Kassel,201048.0
836,16372,Katy,21729.0
837,16438,Kearney,34418.0
838,16448,Keene,22786.0
839,16470,Kelowna,142146.0
840,16507,Kennebunk,11424.0
841,16511,Kennesaw,34077.0
842,16515,Kennewick,240735.0
843,16517,Kenora,15096.0
844,16518,Kenosha,124972.0
845,16519,Kensington,7971.0
846,16520,Kent,132319.0
847,16525,Kentwood,51898.0
848,16563,Ketchikan,10652.0
849,16567,Kettering,56226.0
850,16574,Key West,31401.0
851,16577,Keyport,6977.0
852,16578,Keyser,6361.0
853,16713,Kiel,246601.0
854,16718,Kigali,1156663.0
855,16773,King of Prussia,21313.0
856,16785,Kingsburg,12108.0
857,16790,Kingsport,119666.0
858,16792,Kingston,580000.0
859,16852,Kirkland,93010.0
860,16870,Kirtland,6812.0
861,16873,Kiruna,26703.0
862,16927,Kitchener,470015.0
863,16930,Kitimat,8131.0
864,16963,Klamath Falls,43246.0
865,17000,Knightdale,17843.0
866,17010,Knoxville,586048.0
867,17343,Kragujevac,150623.0
868,17446,Krum,5036.0
869,17481,Kuala Lumpur,8639000.0
870,17853,La Crosse,100693.0
871,17887,La Grande,15515.0
872,17905,La Laguna,158010.0
873,17925,La Mirada,48183.0
874,17942,La Porte,34976.0
875,17956,La Quinta,41748.0
876,17995,La Vergne,35716.0
877,18045,Lacey,52592.0
878,18052,Lacombe,13057.0
879,18053,Laconia,19371.0
